movie_id,genre_id
8838,80
8839,14
8839,35
8839,10751
8840,12
8840,14
8840,18
8840,28
8843,27
8843,53
8843,878
8845,28
8845,53
8848,18
8848,53
8848,80
8856,12
8856,18
8856,28
8856,10749
8856,10751
8867,18
8867,28
8867,53
8867,80
8871,14
8871,35
8871,10751
8879,18
8879,37
8909,28
8909,53
8909,80
8913,27
8914,27
8914,28
8914,878
8916,16
8916,35
8916,10751
8920,35
8920,10751
8922,27
8960,14
8960,28
8961,28
8961,35
8961,80
8963,18
8963,28
8963,53
8963,10752
8966,14
8966,18
8966,10749
8967,14
8967,18
8982,18
8982,28
8982,53
8982,80
9003,27
9003,53
9007,14
9007,35
9007,10749
9008,18
9008,53
9016,12
9016,14
9016,16
9016,878
9016,10751
9023,12
9023,16
9023,18
9023,37
9023,10751
9029,35
9029,10749
9032,18
9032,35
9035,27
9035,35
9035,878
9053,12
9053,28
9053,53
9056,28
9056,35
9056,80
9062,18
9062,10749
9072,35
9072,80
9078,14
9078,16
9078,10751
9100,14
9100,18
9100,27
9101,35
9208,28
9208,53
9255,28
9255,35
9255,10752
9257,28
9257,53
9257,80
9268,28
9268,53
9268,9648
9273,12
9273,35
9273,80
9276,27
9276,878
9277,18
9277,35
9277,80
9279,12
9279,35
9279,10751
9281,18
9281,53
9281,80
9285,12
9285,35
9286,27
9286,9648
9289,18
9289,28
9289,10752
9291,18
9291,35
9291,80
9297,14
9297,16
9297,35
9297,10751
9303,18
9303,53
9303,80
9312,14
9312,28
9313,12
9313,18
9313,28
9316,28
9316,53
9316,80
9319,28
9319,53
9323,16
9323,28
9323,878
9325,12
9325,16
9325,10751
9326,12
9326,28
9326,35
9326,10749
9327,14
9327,35
9327,878
9327,10749
9331,18
9331,28
9331,53
9334,12
9334,14
9334,28
9335,28
9335,53
9335,80
9336,35
9336,80
9339,14
9339,18
9339,35
9340,12
9340,35
9340,10751
9341,12
9341,53
9341,878
9342,12
9342,28
9344,18
9344,80
9348,27
9348,28
9348,878
9349,28
9349,53
9349,878
9350,12
9350,28
9350,53
9352,35
9353,35
9354,12
9354,35
9354,878
9354,10751
9355,12
9355,28
9355,878
9358,27
9358,9648
9360,12
9360,27
9360,53
9361,28
9361,36
9361,10749
9361,10752
9362,27
9362,28
9362,35
9362,878
9366,18
9366,53
9366,80
9373,27
9374,14
9374,27
9374,35
9377,35
9378,27
9378,53
9383,28
9383,53
9383,878
9386,18
9386,28
9386,53
9386,80
9386,9648
9387,12
9387,14
9387,28
9390,18
9390,35
9390,10749
9392,12
9392,27
9397,28
9397,35
9397,878
9398,35
9399,28
9404,12
9404,18
9404,28
9404,35
9404,53
9404,80
9408,16
9408,35
9408,10751
9411,18
9411,53
9411,80
9426,27
9426,878
9428,18
9428,35
9430,35
9430,53
9430,80
9441,18
9441,35
9441,10749
9444,12
9444,14
9444,16
9444,10751
9453,18
9453,36
9454,18
9454,35
9454,10749
9457,12
9457,27
9457,28
9457,878
9461,28
9462,28
9462,80
9470,14
9470,28
9470,35
9470,80
9471,12
9471,28
9471,35
9472,35
9473,16
9473,35
9475,18
9476,12
9476,18
9476,28
9476,10749
9477,12
9477,18
9477,28
9477,36
9477,10752
9479,14
9479,16
9479,10751
9480,14
9480,28
9481,18
9481,53
9481,80
9481,9648
9482,28
9482,878
9486,12
9486,28
9486,35
9487,12
9487,16
9487,35
9487,10751
9488,12
9488,28
9488,35
9488,878
9488,10751
9489,35
9489,10749
9493,35
9495,14
9495,28
9495,53
9502,16
9502,28
9502,35
9502,10751
9506,35
9509,18
9509,28
9509,53
9516,18
9516,53
9516,80
9522,35
9522,10749
9529,18
9529,27
9529,53
9530,12
9530,35
9530,10751
9532,27
9539,18
9539,27
9539,53
9543,12
9543,14
9543,28
9550,12
9550,18
9550,28
9552,18
9552,27
